overall_rank	state	total_score	firearmsindustry_rank	gunprevalence_rank	gunpolitics_rank
1	ID	81.73	1	10	3
2	MT	78.69	3	5	9
3	AK	75.88	6	3	5
4	SD	74.39	4	23	1
5	WY	71.94	5	17	2
6	KY	69.93	20	1	8
7	AR	68.28	7	11	16
8	KS	67.53	8	13	12
9	OK	66.82	19	7	6
10	ND	66.19	14	20	4
11	AL	64.02	17	6	18
12	MO	62.77	12	19	14
13	WV	62.71	24	8	15
14	TN	62.69	22	2	26
15	SC	61.84	21	9	21
16	MS	60.96	13	24	17
17	UT	60.57	10	36	7
18	NC	57.16	27	18	22
19	AZ	56.62	15	34	19
20	IN	56.45	35	4	28
21	NE	55.38	11	41	10
22	TX	53.62	26	37	13
23	LA	53.41	30	31	20
24	CO	52.2	25	12	31
25	PA	51.94	29	29	25
26	WI	50.77	39	21	24
27	OH	50.22	31	25	27
28	NH	49.89	2	22	47
29	GA	49.72	32	33	23
30	ME	48.75	9	38	30
31	MN	48.7	16	15	36
32	NM	48.18	40	14	29
33	VT	47.84	28	16	35
34	NV	46.88	18	28	34
35	IO	45.55	43	40	11
36	OR	44.57	23	26	37
37	VA	43.43	34	32	32
38	FL	41.06	37	35	33
39	WA	39.07	36	27	44
40	MI	36.1	33	39	43
41	IL	32.24	47	30	39
42	CA	24.35	48	45	38
43	MA	23.94	41	47	41
44	CT	22.04	38	44	48
45	HI	20.19	50	42	40
46	NY	18.16	45	49	42
47	DE	17.4	42	43	50
48	RI	16.27	44	48	46
49	NJ	14.89	49	50	45
50	MD	14.83	46	46	49
