happiness_rank,state,happiness_score,wellbeing_rank,work_environ_rank,community_environ_rank
1,MN,70.81,5,5,3
2,UT,68.16,24,1,1
3,HI,67.9,1,10,19
4,CA,66.55,2,21,21
5,NE,65.65,4,15,17
6,NJ,64.97,3,41,8
7,SD,64.71,6,16,12
8,IO,64.52,12,8,7
9,WI,64.16,11,9,10
10,NH,63.47,18,22,2
11,MD,63.18,10,31,5
12,VA,62.43,8,29,13
13,VT,61.34,19,20,4
14,ND,61.08,9,14,28
15,CO,60.84,13,7,33
16,WA,60.35,25,4,15
17,ID,60.14,31,3,9
18,CT,60.06,15,40,11
19,MA,59.42,20,12,16
20,IL,59.41,7,39,24
21,AZ,56.97,22,19,27
22,NY,56.54,17,42,22
23,MT,55.66,29,6,32
23,PA,55.66,28,37,14
25,ME,55.44,39,11,6
26,NC,54.68,26,23,29
27,KS,54.64,21,34,34
28,TX,54.64,14,33,46
29,MI,53.09,36,18,18
30,GA,53.03,27,24,36
31,FL,51.83,16,32,49
32,OR,51.72,44,2,23
33,RI,51.17,35,27,26
34,IN,50.87,40,13,20
35,DE,50.65,30,25,40
36,OH,49.67,38,38,25
37,NV,48.95,32,36,41
38,SC,48.55,33,30,45
39,WY,46.96,37,47,30
40,NM,45.53,34,45,39
41,AK,45.43,23,49,50
42,TN,44.29,45,17,38
43,MO,43.86,41,26,44
44,KY,41.69,46,35,37
45,MS,38.89,42,46,47
46,AR,37.33,50,28,35
47,AL,36.6,47,43,42
48,LA,35.35,43,50,48
49,OK,34.97,48,44,43
50,WV,34.89,49,48,31
