overall_rank,state,total_score,well_being_rank,work_environ_rank,community_environ_rank
1,Minnesota,70.81,5,5,3
2,Utah,68.16,24,1,1
3,Hawaii,67.9,1,10,19
4,California,66.55,2,21,21
5,Nebraska,65.65,4,15,17
6,New Jersey,64.97,3,41,8
7,South Dakota,64.71,6,16,12
8,Iowa,64.52,12,8,7
9,Wisconsin,64.16,11,9,10
10,New Hampshire,63.47,18,22,2
11,Maryland,63.18,10,31,5
12,Virginia,62.43,8,29,13
13,Vermont,61.34,19,20,4
14,North Dakota,61.08,9,14,28
15,Colorado,60.84,13,7,33
16,Washington,60.35,25,4,15
17,Idaho,60.14,31,3,9
18,Connecticut,60.06,15,40,11
19,Massachusetts,59.42,20,12,16
20,Illinois,59.41,7,39,24
21,Arizona,56.97,22,19,27
22,New York,56.54,17,42,22
23,Montana,55.66,29,6,32
23,Pennsylvania,55.66,28,37,14
25,Maine,55.44,39,11,6
26,North Carolina,54.68,26,23,29
27,Kansas,54.64,21,34,34
28,Texas,54.64,14,33,46
29,Michigan,53.09,36,18,18
30,Georgia,53.03,27,24,36
31,Florida,51.83,16,32,49
32,Oregon,51.72,44,2,23
33,Rhode Island,51.17,35,27,26
34,Indiana,50.87,40,13,20
35,Delaware,50.65,30,25,40
36,Ohio,49.67,38,38,25
37,Nevada,48.95,32,36,41
38,South Carolina,48.55,33,30,45
39,Wyoming,46.96,37,47,30
40,New Mexico,45.53,34,45,39
41,Alaska,45.43,23,49,50
42,Tennessee,44.29,45,17,38
43,Missouri,43.86,41,26,44
44,Kentucky,41.69,46,35,37
45,Mississippi,38.89,42,46,47
46,Arkansas,37.33,50,28,35
47,Alabama,36.6,47,43,42
48,Louisiana,35.35,43,50,48
49,Oklahoma,34.97,48,44,43
50,West Virginia,34.89,49,48,31
